YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type,Year_int
2020-01-01,131.0,1179.0,144.0,9.0,1099.0,122.0,Albaha,Domestic,2020
2020-01-01,156.1,1651.0,143.0,10.6,915.0,86.0,Albaha,Domestic,2020
2021-01-01,1.0,5.0,3.0,8.0,4416.0,576.0,Albaha,Inbound,2021
2021-01-01,1.0,5.0,3.0,8.0,4747.0,595.0,Albaha,Inbound,2021
2021-01-01,1100.0,8743.0,1411.0,7.9,1283.0,161.0,Albaha,Domestic,2021
2021-01-01,532.0,3371.0,586.0,6.3,1102.0,174.0,Albaha,Domestic,2021
2021-01-01,276.0,2354.0,402.0,8.5,1455.0,171.0,Albaha,Domestic,2021
2021-01-01,293.0,3018.0,424.0,10.3,1448.0,140.0,Albaha,Domestic,2021
2022-01-01,4.0,41.0,9.0,10.0,2133.0,216.0,Albaha,Inbound,2022
2022-01-01,4.0,41.0,9.0,10.0,2133.0,216.0,Albaha,Inbound,2022
2022-01-01,1021.0,6623.0,1000.0,6.5,980.0,151.0,Albaha,Domestic,2022
2022-01-01,784.0,4622.0,749.0,5.9,955.0,162.0,Albaha,Domestic,2022
2022-01-01,100.0,744.0,107.0,7.4,1066.0,144.0,Albaha,Domestic,2022
2022-01-01,137.0,1256.0,144.0,9.2,1057.0,115.0,Albaha,Domestic,2022
2023-01-01,16.0,110.0,43.0,7.0,2664.0,393.0,Albaha,Inbound,2023
2023-01-01,16.0,110.0,43.0,7.0,2664.0,393.0,Albaha,Inbound,2023
2023-01-01,1071.0,7633.0,1237.0,7.1,1155.0,162.0,Albaha,Domestic,2023
2023-01-01,785.0,5907.0,1003.0,7.5,1278.0,170.0,Albaha,Domestic,2023
2023-01-01,122.0,629.0,101.0,5.2,828.0,160.0,Albaha,Domestic,2023
2023-01-01,165.0,1097.0,134.0,6.7,813.0,122.0,Albaha,Domestic,2023
2024-01-01,8.0,54.0,22.0,7.0,2734.0,410.0,Albaha,Inbound,2024
2024-01-01,8.0,54.0,22.0,7.0,2734.0,410.0,Albaha,Inbound,2024
2024-01-01,1127.0,10346.0,1123.0,9.2,997.0,109.0,Albaha,Domestic,2024
2024-01-01,791.0,7108.0,844.0,9.0,1067.0,119.0,Albaha,Domestic,2024
2024-01-01,107.0,971.0,105.0,9.1,982.0,108.0,Albaha,Domestic,2024
2024-01-01,229.0,2266.0,174.0,9.9,762.0,77.0,Albaha,Domestic,2024
2015-01-01,42.0,178.0,144.0,4.2,3427.0,807.0,Alqassim,Inbound,2015
2015-01-01,16.0,79.0,63.0,5.1,4022.0,794.0,Alqassim,Inbound,2015
2015-01-01,16.0,62.0,57.0,3.9,3537.0,907.0,Alqassim,Inbound,2015
2015-01-01,3.0,12.7,9.0,4.3,2970.0,693.0,Alqassim,Inbound,2015
2015-01-01,7.3,23.9,15.0,3.3,2104.0,646.0,Alqassim,Inbound,2015
2015-01-01,947.0,3697.0,832.0,3.9,879.0,225.0,Alqassim,Domestic,2015
2015-01-01,814.0,3170.0,745.0,3.9,915.0,235.0,Alqassim,Domestic,2015
2015-01-01,58.0,210.0,49.0,3.6,844.0,233.0,Alqassim,Domestic,2015
